Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
obsidian + dune,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
hurricane + wave,1,0,1,8,5,3,12,0,33,33,0:100,0.0,0.38,False
dust + ocean,1,0,1,29,18,11,3,0,9,9,0:100,0.0,0.38,False
hurricane + ocean,1,0,1,16,9,7,6,0,14,14,0:100,0.0,0.44,False
sand + dust,1,0,1,22,12,10,5,0,10,10,0:100,0.0,0.45,False
dune + rain,1,0,1,10,5,5,10,0,20,20,0:100,0.0,1.0,False
dune + lava,1,0,1,11,5,6,9,0,17,17,0:100,0.0,1.0,False
ocean + sand,1,0,1,7,4,3,14,0,33,33,0:100,0.0,0.43,True
desert + stone,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,True
beach + stone,1,0,1,13,8,5,8,0,20,20,0:100,0.0,0.38,False
earth + desert,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
wind + oasis,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
fire + desert,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
air + pyramid,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
rain + desert,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
dust + dune,1,0,1,8,4,4,12,0,25,25,0:100,0.0,1.0,False
salt + desert,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
beach + wave,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
sandstorm + ocean,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
sandstone + stone,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
sandstone + salt,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
fire + sandstone,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
metal + sandstone,1,0,1,4,0,4,25,0,25,25,0:100,nan,1.0,False
metal + pyramid,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
metal + sand,1,0,1,13,7,6,8,0,17,17,0:100,0.0,0.46,False
metal + tsunami,1,0,1,2,0,2,50,0,50,50,0:100,nan,1.0,False
metal + wave,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
electricity + atmosphere,1,0,1,5,3,2,20,0,50,50,0:100,0.0,0.4,False
electricity + salt,1,0,1,6,1,5,17,0,20,20,0:100,0.0,1.0,False
wind + electricity,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
blade + wire,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
obsidian + electricity,1,0,1,11,5,6,9,0,17,17,0:100,0.0,1.0,False
boiler + wire,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
boiler + steam,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
pressure + boiler,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
air + wire,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
sandstone + wire,1,0,1,4,0,4,25,0,25,25,0:100,nan,1.0,False
rain + blade,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
wire + scissors,1,0,1,4,1,3,25,0,33,33,0:100,0.0,1.0,False
beach + pyramid,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
electricity + beach,1,0,1,6,4,2,17,0,50,50,0:100,0.0,0.33,False
electricity + desert,1,0,1,4,2,2,25,0,50,50,0:100,0.0,1.0,False
electricity + dune,1,0,1,5,2,3,20,0,33,33,0:100,0.0,1.0,False
electricity + sand,1,0,1,9,5,4,11,0,25,25,0:100,0.0,0.44,True
electricity + hurricane,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
electricity + lava,1,0,1,17,9,8,6,0,12,12,0:100,0.0,0.47,False
